,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
9,Cortona,Biblioteca del Comune e dell'Accademia Etrusca,[Fons general. Codi: 69],212 - 213 - 214 - 215 - 291,
10,Cremona,Biblioteca Governativa,[Fons general. Codi: 71],64 - 99,
11,Fermo,Biblioteca Comunale,[Fons general. Codi: 74],19,
12,Ferrara,Biblioteca Ariostea,[Fons general. Codi: 197],"I, 283",
13,Florència,Biblioteca Medicea Laurenziana,Ashburnham,190 - 191 - 197 - 893 - 907 - 1246 - 1448,
14,Florència,Biblioteca Medicea Laurenziana,Gaddi reliq.,174,
15,Florència,Biblioteca Medicea Laurenziana,Orientali,Or 142a,
16,Florència,Biblioteca Nazionale Centrale,Conv. Soppr.,B. 3. 1573 - B. 6. 1680,
17,Florència,Biblioteca Nazionale Centrale,Magliabechiano,II.iii.28 - II.iv.53 - XV.3 - XV.22 - XVI.25 - XVI.40 - XVI.43 - XVI.45 - XVI.46 - XVI.47 - XVI.48 - XVI.49 - XVI.50 - XVI.51 - XVI.52 - XVI.53 - XVI.54 - XVI.55 - XVI.56 - XVI.57 - XVI.58 - XVI.59 - XVI.60 - XVI.61 - XVI.62 - XVI.76 - XVI.77 - XVI.105 - XVI.133,
18,Florència,Biblioteca Nazionale Centrale,Conv. Soppr. da ordinare,"Vallombrosa, 9 (298)",
19,Florència,Biblioteca Nazionale Centrale,Raccolta Palatina,792 - 867 - 887 - 933 - 948 - 1026 - 1051,
20,Florència,Biblioteca Nazionale Centrale,(fons general),II.xi.85,
21,Florència,Biblioteca Nazionale Centrale,Banco Rari,52,
22,Florència,Biblioteca Riccardiana,[Fons general. Codi: 10],337 - 390 - 669 - 691 - 803 - 923 - 932 - 942 - 984 - 1001 - 1165 - 1367 - 2827,
23,Foligno,Biblioteca Communale,[Fons general. Codi: 75],C 47,
24,Gènova,Biblioteca Civica Berio,[Fons general. Codi: 78],III/1/31,
25,Gènova,Biblioteca Universitaria,[Fons general. Codi: 79],A IX 27,
26,Imperia (Itàlia),Biblioteca Civica L. Lagorio,[Fons general. Codi: 241],3 (7),
27,Lucca,Biblioteca Statale,[Fons general. Codi: 88],1072 - 2641,
28,Milà,Biblioteca Ambrosiana,[Fons general. Codi: 24],A 5 Sup. - A 66 Inf. - A 70 Inf. - A 208 Inf. - A 268 Inf. - A 50 Suss. - A 206 Suss. - A 229 Suss. - C 28 Inf. - D 130 inf. - D 216 Inf. - D 248 Inf. - D 369 Inf. - D 465 Inf. - D 512 Inf. - D 535 Inf. - D 549 Inf. - E 4 Sup. - G 66 Inf. - G 103 Suss. - H 8 Inf. - H 71 Inf. - I 34 Inf. - I 66 Inf. - I 117 Sup. - I 121 Inf. - I 153 Inf. - N 4 Sup. - N 5 Sup. - N 81 Sup. - N 101 Sup. - N 184 Sup. - N 185 Sup. - N 186 Sup. - N 223 Sup. - N 250 Sup. - N 259 Sup. - N 260 Sup. - O 7 Sup. - O 10 Sup. - O 12 Sup. - O 87 Sup. - O 91 Sup. - P 79 Sup. - P 148 Sup. - P 173 Sup. - P 198 Sup. - P 217 Sup. - Q 118 Sup. - Q 119 Sup. - R 90 Sup. - R 94 Sup. - R 98 Sup. - R 105 Sup. - R 106 Sup. - R 116 Sup. - R 118 Sup. - R 126 Sup. - S 99 Sup. - V 47 sup. - Y 21 Sup.,
29,Milà,Biblioteca Nazionale Braidense,[Fons general. Codi: 25],AD XV 17/2 - AH. X.47,
30,Mòdena,Biblioteca Estense Universitaria,Campori,49,
31,Mòdena,Biblioteca Estense Universitaria,it.,396 - 455,
32,Mòdena,Biblioteca Estense Universitaria,lat.,1264 - 357 = alfa.T.4.8 - 360 = alfa.U.4.2 - 364 = alfa.P.4.5 - 365 = alfa.S.4.8 - 367 = alfa.S.4.6 - 368 = alfa.S.4.5 - 379 = alfa.W.3.7 - 353 = alfa.U.4.19 - 354 = alfa.U.4.20 - 355 = alfa.T.4.10 - 356 = alfa.U.4.21 - 358 = alfa.L.5.11 - 362 = alfa.P.4.14 - 876 = alfa.R.9.25,
33,Nàpols,Biblioteca Nazionale,(fons general),VII.D.19 - VII.D.32 - VIII.C.17 - VIII.C.96 - VIII.D.10 - VIII.D.17 - VIII.D.18 - VIII.F.21 - VIII.F.38 - VIII.F.42 - XIII.AA.32,
34,Nàpols,Biblioteca Nazionale,San Martino Aggiunti,13,
35,Pàdua,Biblioteca Antoniana,[Fons general. Codi: 298],XXIII 617,
36,Pàdua,Biblioteca Capitolare,[Fons general. Codi: 31],A.39 - B.38 - C.79,
37,Pàdua,Biblioteca Civica,[Fons general. Codi: 206],A 4 - CM 600,
38,Pàdua,Biblioteca del Seminario vescovile,[Fons general. Codi: 313],Cod. 16,
39,Pàdua,Biblioteca Universitaria,[Fons general. Codi: 32],63 - 1380 - 1717,
40,Palerm,Biblioteca Centrale della Regione Siciliana,[Fons general. Codi: 177],II. B. 21,
41,Palerm,Biblioteca Comunale,[Fons general. Codi: 312],4.Qq.A.10,
42,Parma,Biblioteca Palatina,Palatino,309,
